state,n_users,Openness,Openness_std,Conscientiousness,Conscientiousness_std,Extraversion,Extraversion_std,Agreeableness,Agreeableness_std,Neuroticism,Neuroticism_std,Openness_z,Conscientiousness_z,Extraversion_z,Agreeableness_z,Neuroticism_z
Sachsen,4999,3.7385477095419084,0.45159489196938,3.1024204840968195,0.536681798992507,3.841968393678736,0.6378038285325014,3.7293458691738346,0.6875682455111884,2.203240648129626,0.4923397807245861,1.5709167653258194,0.8835438811828831,1.1587109642174058,1.540784056573789,-1.3392921825594433
Bayern,5000,3.6286,0.5176056637292766,3.074,0.622094366057157,3.7564,0.6796700892977837,3.6244,0.7463484757199159,2.361,0.6687065377927282,0.20905939839849602,-0.2350185249470892,-0.0601703299679621,0.04400944291070685,0.1398672802897568
Rheinland-Pfalz,5000,3.5458,0.542919250222768,3.0744,0.6958171256116501,3.7218,0.663997694715665,3.5872,0.7930459913453177,2.4648,0.7411280686648108,-0.8165353179571154,-0.21927547986285684,-0.553030964201117,-0.48654994038466576,1.1131011990618291
Saarland,1428,3.507002801120448,0.5695681074323433,3.074229691876751,0.7459921659143018,3.7100840336134455,0.6790357512294688,3.5434173669467786,0.8220456320654148,2.469887955182073,0.736335546127661,-1.2970933153033226,-0.2259784010191544,-0.7199193637367104,-1.1109931337116796,1.1608061177553324
Schleswig-Holstein,5000,3.577,0.5296480958344741,3.0918,0.6342343499386709,3.749,0.6493714935746205,3.6644,0.7641265718999547,2.3406,0.6507505937508267,-0.43007933788108743,0.4655469813013372,-0.1655798297750535,0.6145034034433676,-0.05140412571169544
Niedersachsen,4999,3.5073014602920582,0.5437048328992443,3.0634126825365073,0.703972916435011,3.666333266653331,0.6824038743842687,3.533506701340268,0.7890985972256942,2.4670934186837368,0.7224099417396362,-1.2933940004676407,-0.6517100653192422,-1.3431283450126923,-1.2523425055460036,1.1346044057377285
Nordrhein-Westfalen,5000,3.5418,0.5472775004807949,3.0696,0.6954513430241563,3.732,0.6716146314983381,3.5522,0.7968702280999626,2.4166,0.7048005311843569,-0.8660809564284009,-0.40819202087366235,-0.4077367887913408,-0.9857321558507455,0.6611756221368382
Baden-WÃ¼rttemberg,5000,3.6066,0.5229638020242372,3.095,0.6618629862158062,3.7426,0.6708466643350103,3.6272,0.7591675882737731,2.3808,0.6875215612469444,-0.06344161319357698,0.5914913419752134,-0.2567448025811883,0.083944020147995,0.32551305670292346
Brandenburg,5000,3.6474,0.5078629982239236,3.1036,0.5977779752563156,3.7306,0.6459931125176831,3.684,0.7471650762249439,2.2784,0.5849460422761016,0.44192389921353953,0.9299668112862436,-0.4276791265926863,0.894045444104372,-0.6345943930298351
Mecklenburg-Vorpommern,3455,3.6465991316931983,0.5011560289119766,3.1021707670043415,0.5842295614244725,3.795658465991317,0.6190694019514325,3.712011577424023,0.6954337624747873,2.249493487698987,0.5681511919861311,0.4320040163155598,0.8737156125699203,0.4990479488615487,1.293556337739326,-0.9056232778539961
Bremen,2074,3.529893924783028,0.5462879940450351,3.0077145612343297,0.6697504294383657,3.715043394406943,0.6591193550590517,3.5245901639344264,0.776911737815001,2.4628736740597876,0.718993666439039,-1.013554481006407,-2.843855152237545,-0.6492756150062394,-1.3795132740184104,1.0950398720519536
Hamburg,5000,3.7848,0.4110021223167951,3.1058,0.48234105213854195,3.9686,0.5430221124437941,3.705,0.6290104377720335,2.1014,0.33337706587827953,2.1438165807021945,1.0165535592495214,2.9625182996353545,1.1935547733840173,-2.294155121571814
Hessen,5000,3.5678,0.5387589556030122,3.0812,0.6813952009546125,3.7152,0.6865735478791252,3.5664,0.783909397053357,2.4188,0.7115531052313052,-0.5440343063650425,0.04835628656912785,-0.6470448424074431,-0.7832067998616544,0.6818029306271923
ThÃ¼ringen,3542,3.621682665160926,0.5225917779934275,3.0951439864483343,0.6258428886356663,3.7337662337662336,0.6547334996046369,3.6507622811970637,0.7577134075462603,2.3215697346132127,0.6271491312574106,0.12337845561810072,0.5971583048443209,-0.3825776242182249,0.4199974981304196,-0.2298328324328456
Sachsen-Anhalt,4395,3.641183162684869,0.5113962625583802,3.091240045506257,0.6053946417205389,3.781569965870307,0.68409114414616,3.681683731513083,0.7278320825370593,2.2668941979522184,0.577205671577585,0.3649196057009673,0.4435085092010433,0.29836392848481896,0.8610100145354134,-0.7424733604246162
Berlin,4999,3.6955391078215643,0.4814715260044205,3.0478095619123824,0.5930053668278414,3.809361872374475,0.6378299959362693,3.5549109821964393,0.7290733888161929,2.333866773354671,0.6379012762720566,1.0381946073279,-1.265811643920096,0.6942464910915425,-0.9470671815962411,-0.11453519077926701
